0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Year
6,Boston Celtics*,25.7,49,33,52,30,4.44,-0.54,3.90,112.2,107.8,+4.4,99.6,.215,.381,.567,,.534,11.5,21.6,.173,,.514,13.4,77.0,.198,,TD Garden,"763,584","18,624",2019
7,Portland Trail Blazers*,26.2,53,29,51,31,4.20,0.24,4.43,114.7,110.5,+4.2,99.1,.258,.339,.568,,.528,12.1,26.6,.210,,.516,11.0,77.9,.195,,Moda Center,"799,345","19,496",2019
8,Denver Nuggets*,24.9,54,28,51,31,3.95,0.24,4.19,113.0,108.9,+4.1,97.7,.232,.348,.558,,.527,11.9,26.6,.175,,.521,12.3,78.0,.194,,Pepsi Center,"756,457","18,450",2019
9,Indiana Pacers*,27.0,48,34,50,32,3.33,-0.57,2.76,109.9,106.5,+3.4,98.1,.242,.292,.561,,.530,12.4,21.9,.182,,.516,14.1,76.2,.184,,Bankers Life Fieldhouse,"689,310","16,812",2019
10,Oklahoma City Thunder*,25.7,49,33,50,32,3.40,0.15,3.56,110.3,107.0,+3.3,102.8,.266,.347,.545,,.514,11.7,26.0,.190,,.523,14.4,78.2,.206,,Chesapeake Energy Arena,"746,323","18,203",2019
11,Philadelphia 76ers*,26.4,51,31,48,34,2.70,-0.44,2.25,112.6,110.0,+2.6,101.6,.312,.342,.574,,.532,12.9,24.5,.241,,.512,11.1,78.6,.206,,Wells Fargo Center,"838,342","20,447",2019
12,San Antonio Spurs*,28.8,48,34,45,37,1.68,0.12,1.80,112.9,111.2,+1.7,98.3,.237,.286,.572,,.534,11.0,21.0,.194,,.528,11.0,79.4,.170,,AT&T Center,"750,616","18,308",2019
13,Los Angeles Clippers*,27.2,48,34,43,39,0.85,0.23,1.09,112.4,111.5,+0.9,101.7,.326,.295,.575,,.529,12.7,22.0,.258,,.514,11.4,76.0,.224,,STAPLES Center,"710,327","17,325",2019
14,Orlando Magic*,25.7,42,40,43,39,0.71,-0.43,0.28,108.9,108.1,+0.8,98.1,.216,.360,.550,,.518,11.9,22.0,.168,,.515,11.8,79.7,.186,,Amway Center,"720,024","17,431",2019
15,Brooklyn Nets*,25.4,42,40,41,41,-0.07,-0.33,-0.40,109.6,109.7,-0.1,100.8,.284,.403,.556,,.520,13.0,23.8,.211,,.512,11.6,76.4,.190,,Barclays Center,"612,597","14,941",2019
16,Detroit Pistons*,26.9,41,41,40,42,-0.24,-0.31,-0.56,109.0,109.2,-0.2,97.4,.262,.394,.544,,.509,12.3,24.8,.195,,.526,12.8,78.7,.211,,Little Caesars Arena,"675,963","16,487",2019
17,Miami Heat,27.0,39,43,40,42,-0.23,-0.22,-0.45,107.3,107.6,-0.3,98.2,.247,.368,.542,,.515,13.1,24.8,.172,,.510,12.7,77.6,.201,,AmericanAirlines Arena,"805,264","19,641",2019
18,Sacramento Kings,24.8,39,43,38,44,-1.12,0.31,-0.81,110.4,111.5,-1.1,103.1,.244,.321,.554,,.524,11.5,23.1,.177,,.533,13.6,75.5,.207,,Golden 1 Center,"700,975","17,097",2019
19,Charlotte Hornets,26.6,39,43,38,44,-1.10,-0.22,-1.32,111.4,112.5,-1.1,98.7,.257,.378,.554,,.514,10.9,21.7,.205,,.538,12.1,77.1,.179,,Spectrum Center,"676,570","16,502",2019
20,New Orleans Pelicans,25.7,33,49,38,44,-1.33,0.23,-1.10,111.4,112.6,-1.2,103.3,.254,.324,.563,,.529,12.6,24.1,.193,,.532,11.6,76.8,.193,,Smoothie King Center,"656,183","16,004",2019
21,Dallas Mavericks,26.9,33,49,38,44,-1.28,0.42,-0.87,109.4,110.7,-1.3,99.0,.291,.422,.555,,.519,12.7,22.7,.216,,.522,11.6,77.5,.191,,American Airlines Center,"820,569","20,014",2019
22,Minnesota Timberwolves,26.2,36,46,37,45,-1.50,0.48,-1.02,111.4,112.9,-1.5,100.2,.267,.315,.552,,.511,11.4,24.6,.210,,.538,12.9,74.9,.190,,Target Center,"627,543","15,306",2019
23,Los Angeles Lakers,26.2,37,45,37,45,-1.72,0.39,-1.33,107.8,109.5,-1.7,103.2,.257,.342,.554,,.527,13.4,22.2,.180,,.516,12.2,76.4,.192,,STAPLES Center,"778,877","18,997",2019
24,Memphis Grizzlies,27.7,33,49,34,48,-2.60,0.51,-2.08,106.1,108.8,-2.7,96.6,.272,.342,.548,,.508,12.9,20.0,.210,,.521,13.9,77.6,.232,,FedEx Forum,"638,332","15,569",2019
25,Washington Wizards,26.5,32,50,34,48,-2.90,-0.40,-3.30,111.1,113.9,-2.8,101.4,.266,.370,.567,,.531,12.3,21.3,.204,,.546,13.5,74.1,.199,,Capital One Arena,"716,996","17,448",2019
26,Atlanta Hawks,25.1,29,53,27,55,-6.02,-0.04,-6.06,108.1,113.9,-5.8,103.9,.255,.403,.555,,.522,14.3,24.7,.192,,.541,12.8,76.4,.237,,State Farm Arena,"628,440","15,328",2019
27,Chicago Bulls,24.0,22,60,21,61,-8.41,0.10,-8.32,104.8,113.2,-8.4,99.0,.235,.295,.541,,.505,12.7,19.4,.184,,.541,11.9,77.3,.188,,United Center,"823,475","20,085",2019
28,New York Knicks,23.4,17,65,19,63,-9.21,0.28,-8.93,104.5,113.7,-9.2,99.6,.270,.334,.529,,.490,12.4,22.1,.205,,.533,11.7,76.1,.203,,Madison Square Garden (IV),"779,087","19,002",2019
29,Phoenix Suns,24.0,19,63,19,63,-9.34,0.73,-8.61,105.9,115.1,-9.2,100.5,.259,.335,.552,,.514,13.8,20.5,.202,,.545,13.5,72.5,.236,,Talking Stick Resort Arena,"627,023","15,293",2019
30,Cleveland Cavaliers,25.2,19,63,19,63,-9.61,0.22,-9.39,107.7,117.6,-9.9,96.6,.236,.332,.540,,.503,12.2,23.7,.187,,.564,11.5,77.0,.181,,Quicken Loans Arena,"793,337","19,350",2019
,League Average,26.4,,,41,41,0.00,0.00,0.00,110.4,110.4,,100.0,.259,.359,.560,,.524,12.4,22.9,.198,,.524,12.4,77.1,.198,,,"732,148","17,853",2019
Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G,2020
1,Milwaukee Bucks*,29.2,56,17,57,16,10.08,-0.67,9.41,112.4,102.9,+9.5,105.1,.271,.428,.583,,.552,12.9,20.7,.201,,.489,12.0,81.6,.178,,Fiserv Forum,"549,036","17,711",2020
2,Boston Celtics*,25.3,48,24,50,22,6.31,-0.47,5.83,113.3,107.0,+6.3,99.5,.259,.386,.570,,.531,12.2,23.9,.207,,.509,13.5,77.4,.215,,TD Garden,"610,864","19,090",2020
3,Los Angeles Clippers*,27.4,49,23,50,22,6.44,0.21,6.66,113.9,107.6,+6.3,101.5,.295,.375,.577,,.535,12.6,23.5,.233,,.506,12.2,77.6,.206,,STAPLES Center,"610,176","19,068",2020
4,Toronto Raptors*,26.6,53,19,50,22,6.24,-0.26,5.97,111.1,105.0,+6.1,100.9,.264,.421,.574,,.536,13.1,21.3,.210,,.502,14.6,76.7,.202,,Scotiabank Arena,"633,456","19,796",2020
5,Los Angeles Lakers*,29.5,52,19,48,23,5.79,0.49,6.28,112.0,106.3,+5.7,100.9,.276,.358,.573,,.542,13.3,24.5,.201,,.515,14.1,78.8,.205,,STAPLES Center,"588,907","18,997",2020
6,Dallas Mavericks*,26.1,43,32,49,26,4.95,-0.07,4.87,116.7,111.7,+5.0,99.3,.264,.457,.581,,.545,11.2,23.2,.206,,.525,10.6,77.7,.175,,American Airlines Center,"682,096","20,062",2020
7,Miami Heat*,25.9,44,29,43,30,2.95,-0.35,2.59,112.5,109.5,+3.0,98.3,.299,.419,.587,,.547,13.5,20.3,.234,,.523,12.6,79.5,.213,,AmericanAirlines Arena,"629,771","19,680",2020
8,Houston Rockets*,29.2,44,28,42,30,2.96,0.17,3.13,112.9,110.1,+2.8,103.7,.288,.501,.578,,.537,12.6,21.0,.228,,.529,13.7,75.6,.197,,Toyota Center,"578,458","18,077",2020
9,Utah Jazz*,27.3,44,28,42,30,2.47,0.05,2.52,112.3,109.9,+2.4,98.6,.268,.414,.585,,.549,13.7,21.6,.208,,.518,11.1,78.9,.185,,Vivint Smart Home Arena,"567,486","18,306",2020
10,Philadelphia 76ers*,26.3,43,30,42,31,2.38,-0.13,2.25,111.3,109.0,+2.3,99.0,.255,.360,.566,,.534,12.7,23.9,.193,,.523,12.5,80.3,.214,,Wells Fargo Center,"639,491","20,629",2020
11,Denver Nuggets*,25.6,46,27,41,32,2.11,0.24,2.35,113.1,111.0,+2.1,97.1,.235,.344,.567,,.535,12.3,24.8,.183,,.533,12.9,76.8,.198,,Pepsi Center,"633,153","19,186",2020
12,Indiana Pacers*,25.6,45,28,41,32,1.96,-0.33,1.63,110.0,108.0,+2.0,98.9,.216,.317,.565,,.534,12.0,20.0,.170,,.511,13.0,76.7,.192,,Bankers Life Fieldhouse,"529,002","16,531",2020
13,Oklahoma City Thunder*,25.5,44,28,41,31,1.99,0.34,2.33,110.8,108.8,+2.0,98.8,.290,.353,.573,,.530,12.4,19.3,.231,,.518,12.6,76.8,.173,,Chesapeake Energy Arena,"600,699","18,203",2020
14,Phoenix Suns,24.6,34,39,37,36,0.22,0.35,0.56,111.7,111.4,+0.3,101.3,.271,.361,.576,,.532,13.0,22.2,.226,,.539,13.7,78.8,.221,,Talking Stick Resort Arena,"550,633","15,606",2020
15,Brooklyn Nets*,26.3,35,37,35,37,-0.57,-0.44,-1.01,108.9,109.5,-0.6,101.4,.267,.423,.554,,.520,13.1,23.2,.199,,.511,11.0,77.8,.187,,Barclays Center,"524,907","16,403",2020
16,Orlando Magic*,26.1,33,40,34,39,-1.01,0.09,-0.93,108.5,109.5,-1.0,98.6,.256,.364,.544,,.506,11.5,22.3,.198,,.535,13.2,79.1,.176,,Amway Center,"529,870","17,093",2020
17,San Antonio Spurs,27.6,32,39,33,38,-1.11,0.46,-0.65,112.4,113.5,-1.1,100.5,.262,.318,.572,,.531,11.2,20.1,.212,,.542,11.7,79.2,.193,,AT&T Center,"550,515","18,351",2020
18,Memphis Grizzlies,24.1,34,39,34,39,-1.07,0.16,-0.91,109.2,110.3,-1.1,102.8,.240,.346,.561,,.528,13.2,23.0,.183,,.521,12.7,77.8,.217,,FedEx Forum,"523,297","15,857",2020
19,Portland Trail Blazers*,27.5,35,39,34,40,-1.15,0.54,-0.61,113.7,114.8,-1.1,100.7,.242,.374,.570,,.533,11.2,22.4,.194,,.530,11.2,75.3,.208,,Moda Center,"628,303","19,634",2020
20,New Orleans Pelicans,25.4,30,42,33,39,-1.29,0.74,-0.55,110.7,111.9,-1.2,103.7,.256,.403,.568,,.539,13.9,24.2,.186,,.532,12.4,77.8,.212,,Smoothie King Center,"528,172","16,505",2020
21,Sacramento Kings,27.0,31,41,31,41,-2.04,0.46,-1.59,110.2,112.2,-2.0,98.9,.230,.395,.566,,.534,13.0,21.9,.177,,.543,13.6,78.4,.225,,Golden 1 Center,"520,663","16,796",2020
22,Chicago Bulls,24.4,22,43,26,39,-3.08,-0.93,-4.00,106.7,109.8,-3.1,99.7,.231,.396,.547,,.515,13.7,22.8,.175,,.546,16.3,75.6,.239,,United Center,"639,352","18,804",2020
23,Detroit Pistons,25.9,20,46,26,40,-3.56,-0.82,-4.38,109.0,112.7,-3.7,97.6,.261,.381,.561,,.529,13.8,22.6,.194,,.541,12.7,75.9,.186,,Little Caesars Arena,"509,469","15,294",2020
24,Minnesota Timberwolves,24.8,19,45,24,40,-4.30,0.28,-4.02,108.1,112.2,-4.1,103.4,.277,.433,.551,,.514,13.0,22.1,.209,,.541,13.2,77.2,.218,,Target Center,"482,112","15,066",2020
25,Washington Wizards,25.1,25,47,26,46,-4.67,-0.57,-5.24,110.9,115.5,-4.6,102.7,.270,.358,.562,,.523,12.2,22.2,.213,,.558,13.9,75.3,.231,,Capital One Arena,"532,702","16,647",2020
26,New York Knicks,24.5,21,45,20,46,-6.45,-0.26,-6.72,106.5,113.0,-6.5,98.6,.263,.318,.531,,.501,12.6,25.8,.182,,.541,12.4,78.3,.224,,Madison Square Garden (IV),"620,789","18,812",2020
27,Charlotte Hornets,24.3,23,42,19,46,-6.75,-0.28,-7.03,106.3,113.3,-7.0,95.8,.252,.399,.539,,.504,13.3,23.9,.188,,.546,13.1,74.4,.159,,Spectrum Center,"478,591","15,428",2020
28,Atlanta Hawks,24.1,20,47,18,49,-7.97,0.27,-7.71,107.2,114.8,-7.6,103.0,.258,.398,.554,,.515,13.8,21.6,.204,,.543,12.7,74.9,.233,,State Farm Arena,"545,453","16,043",2020
29,Cleveland Cavaliers,25.0,19,46,18,47,-7.89,0.12,-7.77,107.5,115.4,-7.9,98.7,.227,.362,.553,,.522,14.6,24.6,.172,,.560,11.7,77.4,.164,,Rocket Mortgage Fieldhouse,"643,008","17,861",2020
30,Golden State Warriors,24.4,15,50,16,49,-8.71,0.59,-8.12,105.2,113.8,-8.6,100.3,.264,.355,.540,,.497,13.2,21.5,.212,,.553,13.7,76.4,.193,,Chase Center,"614,176","18,064",2020
,League Average,26.2,,,35,35,0.00,0.00,0.00,110.6,110.6,,100.3,.260,.384,.565,,.529,12.8,22.5,.201,,.529,12.8,77.5,.201,,,"575,820","17,788",2020
Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G,2021
1,Utah Jazz*,28.5,52,20,55,17,9.25,-0.29,8.97,117.6,108.3,+9.3,98.5,.244,.488,.597,,.563,12.7,24.5,.195,,.507,10.3,79.3,.159,,Vivint Smart Home Arena,"151,300","4,203",2021
2,Los Angeles Clippers*,28.8,47,25,49,23,6.18,-0.16,6.02,117.6,111.2,+6.4,96.9,.222,.400,.599,,.564,12.2,22.7,.186,,.531,11.9,79.1,.186,,STAPLES Center,"13,901",386,2021
3,Phoenix Suns*,26.6,51,21,49,23,5.82,-0.15,5.67,117.2,111.3,+5.9,97.2,.212,.392,.597,,.564,11.5,20.8,.177,,.534,12.4,78.5,.194,,Phoenix Suns Arena,"104,027","2,890",2021
4,Milwaukee Bucks*,28.1,46,26,48,24,5.89,-0.32,5.57,117.2,111.4,+5.8,102.2,.233,.404,.593,,.566,12.0,23.3,.177,,.536,11.5,79.7,.157,,Fiserv Forum,"64,780","1,799",2021
5,Philadelphia 76ers*,27.1,49,23,48,24,5.58,-0.31,5.28,113.2,107.6,+5.6,99.5,.293,.347,.579,,.541,12.8,23.2,.225,,.521,13.8,78.2,.200,,Wells Fargo Center,"68,583","1,905",2021
6,Denver Nuggets*,26.1,47,25,47,25,4.93,-0.11,4.82,117.1,112.1,+5.0,97.1,.219,.383,.588,,.557,12.1,24.7,.176,,.545,12.9,78.9,.200,,Ball Arena,"54,563","1,516",2021
7,Brooklyn Nets*,28.2,48,24,46,26,4.50,-0.27,4.24,118.3,113.8,+4.5,99.5,.258,.413,.610,,.575,12.2,21.4,.208,,.531,11.1,77.3,.187,,Barclays Center,"30,491",847,2021
8,Los Angeles Lakers*,28.2,42,30,42,30,2.79,-0.03,2.77,109.9,107.1,+2.8,98.7,.271,.363,.569,,.536,13.6,22.5,.200,,.526,13.7,79.7,.184,,STAPLES Center,"23,313",648,2021
9,Dallas Mavericks*,26.3,42,30,41,31,2.26,-0.01,2.26,115.4,113.0,+2.4,97.3,.242,.436,.582,,.550,11.1,21.1,.189,,.534,11.5,77.8,.197,,American Airlines Center,"94,849","2,635",2021
10,New York Knicks*,25.6,41,31,41,31,2.31,-0.18,2.13,110.6,108.2,+2.4,95.9,.242,.347,.559,,.524,11.9,21.9,.190,,.509,11.7,78.6,.196,,Madison Square Garden (IV),"42,131","1,170",2021
11,Atlanta Hawks*,25.4,41,31,41,31,2.32,-0.18,2.14,115.7,113.3,+2.4,97.6,.278,.382,.581,,.539,11.9,24.4,.226,,.530,11.1,77.8,.190,,State Farm Arena,"59,288","1,647",2021
12,Portland Trail Blazers*,27.4,42,30,40,32,1.79,0.01,1.81,117.8,116.0,+1.8,98.4,.238,.448,.577,,.540,9.9,23.0,.195,,.546,11.2,77.5,.203,,Moda Center,"5,817",162,2021
13,Boston Celtics*,25.1,36,36,39,33,1.46,-0.14,1.32,114.0,112.5,+1.5,98.3,.234,.409,.574,,.543,12.5,24.3,.181,,.539,12.8,78.1,.215,,TD Garden,"30,067",835,2021
14,Golden State Warriors,26.7,39,33,38,34,1.06,0.04,1.10,111.1,110.1,+1.0,102.2,.239,.439,.583,,.551,13.3,17.9,.188,,.522,13.1,76.6,.223,,Chase Center,"33,457",929,2021
15,Memphis Grizzlies*,24.2,38,34,38,34,1.03,0.04,1.07,112.0,111.0,+1.0,100.4,.232,.342,.560,,.528,11.6,24.2,.179,,.535,13.1,78.3,.196,,FedEx Forum,"61,449","1,707",2021
16,Miami Heat*,27.4,40,32,36,36,0.03,-0.09,-0.06,111.2,111.2,0.0,96.6,.252,.432,.581,,.546,13.1,19.4,.199,,.542,13.8,77.9,.183,,AmericanAirlines Arena,,,2021
17,Indiana Pacers,26.5,34,38,36,36,-0.04,-0.08,-0.13,112.4,112.4,0.0,101.6,.227,.372,.575,,.542,11.9,20.2,.180,,.531,12.7,74.9,.201,,Bankers Life Fieldhouse,,,2021
18,New Orleans Pelicans,24.8,31,41,35,37,-0.29,0.10,-0.20,113.5,113.8,-0.3,100.1,.293,.342,.570,,.537,12.7,26.3,.214,,.550,11.9,80.0,.186,,Smoothie King Center,"93,120","2,587",2021
19,Toronto Raptors,26.6,27,45,35,37,-0.47,-0.07,-0.54,112.0,112.5,-0.5,99.2,.241,.444,.567,,.529,11.9,20.8,.196,,.543,14.4,76.3,.234,,Amalie Arena,"26,024",723,2021
20,Chicago Bulls,25.6,31,41,34,38,-0.89,-0.05,-0.94,111.1,112.0,-0.9,99.0,.197,.383,.575,,.547,13.6,22.3,.156,,.538,11.6,80.3,.196,,United Center,"13,655",379,2021
21,San Antonio Spurs,26.2,33,39,32,40,-1.74,0.15,-1.58,111.0,112.8,-1.8,98.9,.243,.314,.554,,.517,10.2,20.0,.192,,.541,11.8,77.3,.174,,AT&T Center,"61,053","1,696",2021
22,Washington Wizards*,26.6,34,38,32,40,-1.83,-0.01,-1.85,111.2,113.0,-1.8,104.1,.288,.319,.569,,.531,12.3,21.3,.221,,.539,12.5,77.6,.217,,Capital One Arena,"19,198",533,2021
23,Charlotte Hornets,24.6,33,39,32,40,-1.93,-0.01,-1.94,110.9,112.8,-1.9,98.3,.238,.422,.564,,.532,13.3,23.5,.181,,.550,13.2,75.7,.163,,Spectrum Center,"68,255","1,896",2021
24,Sacramento Kings,25.6,31,41,28,44,-3.68,0.23,-3.45,113.6,117.2,-3.6,100.0,.248,.376,.578,,.549,12.0,21.3,.185,,.557,12.1,75.0,.199,,Golden 1 Center,,,2021
25,Detroit Pistons,24.5,20,52,26,46,-4.47,0.09,-4.38,108.0,112.5,-4.5,97.9,.273,.385,.556,,.519,13.5,21.9,.207,,.541,12.6,76.9,.195,,Little Caesars Arena,"14,250",396,2021
26,Minnesota Timberwolves,23.2,23,49,24,48,-5.56,0.31,-5.25,109.5,115.0,-5.5,101.6,.254,.413,.555,,.520,12.4,22.7,.193,,.556,13.3,76.8,.207,,Target Center,"15,774",438,2021
27,Houston Rockets,26.5,17,55,20,52,-7.90,0.40,-7.50,107.1,114.9,-7.8,101.4,.252,.459,.553,,.521,13.0,19.8,.187,,.555,12.9,77.1,.201,,Toyota Center,"117,009","3,250",2021
28,Cleveland Cavaliers,24.0,22,50,18,54,-8.44,0.25,-8.19,105.8,114.4,-8.6,97.3,.261,.347,.543,,.508,13.9,23.6,.194,,.556,13.0,76.6,.183,,Rocket Mortgage Fieldhouse,"91,476","2,541",2021
29,Orlando Magic,25.6,21,51,17,55,-9.31,0.29,-9.02,105.1,114.5,-9.4,98.7,.240,.356,.527,,.490,11.5,21.6,.186,,.547,11.5,78.2,.169,,Amway Center,"126,463","3,513",2021
30,Oklahoma City Thunder,22.8,22,50,15,57,-10.64,0.51,-10.13,103.5,114.0,-10.5,101.0,.242,.399,.539,,.509,14.2,21.2,.176,,.547,11.5,77.9,.167,,Chesapeake Energy Arena,,,2021
,League Average,26.3,,,36,36,0.00,0.00,0.00,112.3,112.3,,99.2,.247,.392,.572,,.538,12.4,22.2,.192,,.538,12.4,77.8,.192,,,"49,476","1,374",2021
Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G,2022
1,Boston Celtics*,26.1,51,31,59,23,7.28,-0.26,7.02,114.4,106.9,+7.5,96.6,.239,.425,.578,,.542,12.4,24.0,.195,,.502,12.5,77.3,.183,,TD Garden,"785,396","19,156",2022
2,Phoenix Suns*,27.5,64,18,59,23,7.50,-0.56,6.94,114.8,107.3,+7.5,99.8,.221,.354,.581,,.549,11.6,22.3,.176,,.510,13.0,77.1,.195,,Phoenix Suns Arena,"663,171","16,175",2022
3,Utah Jazz*,29.3,49,33,56,26,6.04,-0.37,5.67,116.7,110.5,+6.2,97.1,.271,.468,.589,,.555,12.7,25.4,.208,,.521,10.9,78.3,.164,,Vivint Smart Home Arena,"750,546","18,306",2022
4,Memphis Grizzlies*,24.0,56,26,55,27,5.68,-0.32,5.37,114.6,109.0,+5.6,100.3,.245,.346,.553,,.522,11.2,30.0,.180,,.523,13.3,77.8,.195,,FedEx Forum,"646,785","15,775",2022
5,Golden State Warriors*,27.6,53,29,55,27,5.54,-0.02,5.52,112.5,106.9,+5.6,98.4,.235,.456,.582,,.552,13.5,22.8,.181,,.509,13.0,78.7,.201,,Chase Center,"740,624","18,064",2022
6,Miami Heat*,28.2,53,29,53,29,4.45,-0.22,4.23,113.7,109.1,+4.6,95.9,.252,.422,.584,,.547,13.4,23.5,.204,,.524,13.8,78.0,.209,,FTX Arena,"804,761","19,628",2022
7,Dallas Mavericks*,26.7,52,30,50,32,3.30,-0.18,3.12,112.8,109.4,+3.4,95.4,.249,.439,.572,,.538,11.7,21.3,.192,,.521,12.2,78.0,.185,,American Airlines Center,"808,037","19,708",2022
8,Milwaukee Bucks*,28.5,51,31,49,33,3.35,-0.14,3.22,115.1,111.8,+3.3,99.9,.257,.430,.580,,.546,11.9,23.0,.199,,.536,11.6,78.6,.165,,Fiserv Forum,"715,581","17,453",2022
9,Philadelphia 76ers*,26.8,51,31,48,34,2.61,-0.04,2.57,113.5,110.8,+2.7,96.2,.282,.376,.578,,.534,11.6,20.1,.232,,.524,12.1,76.8,.192,,Wells Fargo Center,"846,867","20,655",2022
10,Minnesota Timberwolves*,24.2,46,36,48,34,2.63,-0.10,2.53,114.3,111.7,+2.6,100.9,.254,.454,.573,,.539,12.4,24.4,.198,,.535,14.2,74.9,.227,,Target Center,"657,148","16,028",2022
11,Denver Nuggets*,27.7,48,34,47,35,2.30,-0.15,2.16,114.5,112.1,+2.4,97.8,.244,.416,.590,,.556,13.2,21.9,.194,,.537,11.7,78.3,.188,,Ball Arena,"695,262","16,958",2022
12,Toronto Raptors*,24.8,48,34,47,35,2.29,0.08,2.38,112.9,110.5,+2.4,96.0,.234,.375,.543,,.510,11.0,28.4,.177,,.535,14.4,75.6,.199,,Scotiabank Arena,"547,343","13,350",2022
13,Cleveland Cavaliers,24.7,44,38,47,35,2.12,-0.08,2.04,111.9,109.7,+2.2,96.1,.261,.387,.571,,.538,13.2,24.0,.198,,.520,12.3,76.5,.172,,Rocket Mortgage Fieldhouse,"758,228","18,493",2022
14,Atlanta Hawks*,26.1,43,39,45,37,1.56,-0.01,1.55,116.5,114.9,+1.6,97.7,.253,.390,.581,,.543,10.8,23.0,.205,,.543,11.5,76.9,.177,,State Farm Arena,"672,742","16,408",2022
15,Brooklyn Nets*,29.1,44,38,43,39,0.78,0.04,0.82,113.6,112.8,+0.8,99.0,.246,.359,.576,,.540,12.5,23.9,.198,,.521,11.7,75.1,.201,,Barclays Center,"711,539","17,355",2022
16,Charlotte Hornets,25.5,43,39,42,40,0.44,0.09,0.53,114.1,113.7,+0.4,100.0,.234,.418,.572,,.544,11.6,23.3,.173,,.544,13.1,74.8,.187,,Spectrum Center,"700,755","17,092",2022
17,San Antonio Spurs,24.5,34,48,41,41,0.12,-0.10,0.02,112.4,112.3,+0.1,100.0,.220,.345,.556,,.527,11.1,23.7,.166,,.532,12.1,75.1,.176,,AT&T Center,"615,588","15,014",2022
18,Los Angeles Clippers,27.5,42,40,41,41,0.02,0.06,0.09,110.1,110.1,0.0,98.0,.224,.391,.564,,.531,12.5,20.6,.178,,.514,12.0,74.4,.167,,Crypto.com Arena,"694,005","16,927",2022
19,New York Knicks,26.0,37,45,41,41,-0.12,0.11,-0.01,110.4,110.5,-0.1,95.9,.280,.428,.550,,.513,12.0,25.1,.208,,.521,11.7,78.8,.198,,Madison Square Garden (IV),"763,484","18,622",2022
20,Chicago Bulls*,26.3,46,36,40,42,-0.39,0.02,-0.38,113.2,113.6,-0.4,98.3,.248,.332,.579,,.541,11.8,20.4,.201,,.541,11.9,78.3,.199,,United Center,"856,148","20,882",2022
21,New Orleans Pelicans*,25.6,36,46,38,44,-0.99,0.15,-0.84,112.0,113.0,-1.0,97.2,.264,.365,.557,,.517,12.5,26.9,.208,,.547,13.0,78.2,.196,,Smoothie King Center,"635,941","15,511",2022
22,Los Angeles Lakers,30.2,33,49,33,49,-3.05,-0.03,-3.08,110.3,113.3,-3.0,100.1,.259,.388,.567,,.537,12.8,21.1,.190,,.540,12.2,75.8,.192,,Crypto.com Arena,"764,631","18,650",2022
23,Washington Wizards,25.9,35,47,32,50,-3.38,0.15,-3.23,111.1,114.5,-3.4,97.0,.252,.356,.568,,.532,12.1,20.9,.197,,.529,10.7,76.9,.202,,Capital One Arena,"637,215","15,542",2022
24,Indiana Pacers,26.0,25,57,32,50,-3.48,0.22,-3.26,112.6,116.1,-3.5,98.0,.239,.395,.564,,.531,12.7,25.5,.184,,.552,11.9,76.2,.204,,Gainbridge Fieldhouse,"588,743","14,360",2022
25,Sacramento Kings,25.8,30,52,28,54,-5.46,0.20,-5.26,109.9,115.3,-5.4,99.8,.264,.377,.561,,.525,12.5,21.3,.203,,.551,11.9,76.0,.176,,Golden 1 Center,"577,583","14,087",2022
26,Detroit Pistons,23.6,23,59,22,60,-7.72,0.37,-7.36,106.0,113.8,-7.8,98.4,.249,.391,.533,,.494,12.6,23.4,.194,,.541,13.1,75.6,.226,,Little Caesars Arena,"663,556","16,184",2022
27,Orlando Magic,23.3,22,60,21,61,-8.00,0.33,-7.67,104.5,112.5,-8.0,99.2,.223,.417,.538,,.503,13.0,19.8,.175,,.532,11.7,77.2,.196,,Amway Center,"622,881","15,192",2022
28,Oklahoma City Thunder,22.4,24,58,21,61,-8.10,0.20,-7.90,104.6,112.8,-8.2,98.6,.223,.419,.530,,.497,12.5,21.8,.169,,.533,11.8,76.1,.169,,Paycom Center,"595,112","14,515",2022
29,Houston Rockets,24.1,20,62,21,61,-8.48,0.22,-8.26,108.4,116.7,-8.3,100.9,.284,.448,.565,,.534,14.5,21.7,.202,,.554,12.3,74.4,.206,,Toyota Center,"638,977","15,585",2022
30,Portland Trail Blazers,25.6,27,55,20,62,-8.88,0.33,-8.55,107.8,116.9,-9.1,98.3,.248,.422,.550,,.515,13.0,22.9,.188,,.559,12.7,76.9,.222,,Moda Center,"705,608","17,210",2022
